filename,word,type,description
1200-essential-english-words.md,family,Family & People,"a group of people related to each other, like parents and children"
1200-essential-english-words.md,mother,Family & People,a female parent
1200-essential-english-words.md,father,Family & People,a male parent
1200-essential-english-words.md,parent,Family & People,a mother or father
1200-essential-english-words.md,sister,Family & People,a girl who has the same parents as you
1200-essential-english-words.md,brother,Family & People,a boy who has the same parents as you
1200-essential-english-words.md,baby,Family & People,a very young child
1200-essential-english-words.md,child,Family & People,a young person
1200-essential-english-words.md,children,Family & People,more than one child
1200-essential-english-words.md,son,Family & People,a male child
1200-essential-english-words.md,daughter,Family & People,a female child
1200-essential-english-words.md,grandmother,Family & People,the mother of your mother or father
1200-essential-english-words.md,grandfather,Family & People,the father of your mother or father
1200-essential-english-words.md,uncle,Family & People,the brother of your mother or father
1200-essential-english-words.md,aunt,Family & People,the sister of your mother or father
1200-essential-english-words.md,cousin,Family & People,the child of your uncle or aunt
1200-essential-english-words.md,husband,Family & People,a married man
1200-essential-english-words.md,wife,Family & People,a married woman
1200-essential-english-words.md,friend,Family & People,a person you like and enjoy being with
1200-essential-english-words.md,neighbor,Family & People,a person who lives near you
1200-essential-english-words.md,person,Family & People,one human being
1200-essential-english-words.md,people,Family & People,more than one person
1200-essential-english-words.md,boy,Family & People,a young male person
1200-essential-english-words.md,girl,Family & People,a young female person
1200-essential-english-words.md,man,Family & People,an adult male person
1200-essential-english-words.md,woman,Family & People,an adult female person
1200-essential-english-words.md,teenager,Family & People,a young person between 13 and 19 years old
1200-essential-english-words.md,adult,Family & People,a fully grown person
1200-essential-english-words.md,stranger,Family & People,a person you do not know
1200-essential-english-words.md,guest,Family & People,a person you invite to your home or a party
1200-essential-english-words.md,head,Body & Health,the top part of your body where your brain is
1200-essential-english-words.md,face,Body & Health,"the front part of your head with eyes, nose, and mouth"
1200-essential-english-words.md,eye,Body & Health,the body part you use to see
1200-essential-english-words.md,ear,Body & Health,the body part you use to hear
1200-essential-english-words.md,nose,Body & Health,the body part you use to smell
1200-essential-english-words.md,mouth,Body & Health,the body part you use to eat and speak
1200-essential-english-words.md,tooth,Body & Health,a hard white thing in your mouth for biting food
1200-essential-english-words.md,teeth,Body & Health,more than one tooth
1200-essential-english-words.md,tongue,Body & Health,the soft pink part inside your mouth
1200-essential-english-words.md,hair,Body & Health,the thin threads that grow on your head
1200-essential-english-words.md,neck,Body & Health,the part that connects your head to your body
