word,chinese,type,definition,level,has_image
family,家庭,Family & People,"a group of people related to each other, like parents and children",elementary,1
mother,母親,Family & People,a female parent,elementary,1
father,父親,Family & People,a male parent,elementary,1
parent,父母,Family & People,a mother or father,elementary,1
sister,姊妹,Family & People,a girl who has the same parents as you,elementary,1
brother,兄弟,Family & People,a boy who has the same parents as you,elementary,1
baby,嬰兒,Family & People,a very young child,elementary,1
child,小孩,Family & People,a young person,elementary,1
children,小孩們,Family & People,more than one child,elementary,1
son,兒子,Family & People,a male child,elementary,1
daughter,女兒,Family & People,a female child,elementary,1
grandmother,祖母,Family & People,the mother of your mother or father,elementary,1
grandfather,祖父,Family & People,the father of your mother or father,elementary,1
uncle,叔叔,Family & People,the brother of your mother or father,elementary,1
aunt,阿姨,Family & People,the sister of your mother or father,elementary,1
cousin,堂/表兄弟姊妹,Family & People,the child of your uncle or aunt,elementary,1
husband,丈夫,Family & People,a married man,elementary,1
wife,妻子,Family & People,a married woman,elementary,1
friend,朋友,Family & People,a person you like and enjoy being with,elementary,1
neighbor,鄰居,Family & People,a person who lives near you,elementary,1
person,人,Family & People,one human being,elementary,1
people,人們,Family & People,more than one person,elementary,1
boy,男孩,Family & People,a young male person,elementary,1
girl,女孩,Family & People,a young female person,elementary,1
man,男人,Family & People,an adult male person,elementary,1
woman,女人,Family & People,an adult female person,elementary,1
teenager,青少年,Family & People,a young person between 13 and 19 years old,elementary,1
adult,成人,Family & People,a fully grown person,elementary,1
stranger,陌生人,Family & People,a person you do not know,elementary,1
guest,客人,Family & People,a person you invite to your home or a party,elementary,1
head,頭,Body & Health,the top part of your body where your brain is,elementary,1
face,臉,Body & Health,"the front part of your head with eyes, nose, and mouth",elementary,1
eye,眼睛,Body & Health,the body part you use to see,elementary,1
ear,耳朵,Body & Health,the body part you use to hear,elementary,1
nose,鼻子,Body & Health,the body part you use to smell,elementary,1
mouth,嘴巴,Body & Health,the body part you use to eat and speak,elementary,1
tooth,牙齒,Body & Health,a hard white thing in your mouth for biting food,elementary,1
teeth,牙齒（複數）,Body & Health,more than one tooth,elementary,1
tongue,舌頭,Body & Health,the soft pink part inside your mouth,elementary,1
hair,頭髮,Body & Health,the thin threads that grow on your head,elementary,1
neck,脖子,Body & Health,the part that connects your head to your body,elementary,1
